Sample,Cluster
202114_at,1
202115_s_at,1
202116_at,1
202117_at,0
202118_s_at,0
202119_s_at,0
202120_x_at,0
202121_s_at,0
202122_s_at,0
202123_s_at,0
202124_s_at,1
202125_s_at,0
202126_at,0
202127_at,1
202128_at,1
202129_s_at,0
202130_at,0
202131_s_at,1
202132_at,1
202133_at,1
202134_s_at,1
202135_s_at,0
202136_at,0
202137_s_at,1
202138_x_at,0
202139_at,0
202140_s_at,1
202141_s_at,0
202142_at,1
202143_s_at,1
202144_s_at,0
202145_at,1
202146_at,1
202147_s_at,1
202148_s_at,0
202149_at,0
202150_s_at,0
202151_s_at,1
202152_x_at,1
202153_s_at,1
202154_x_at,0
202155_s_at,1
202156_s_at,1
202157_s_at,0
202158_s_at,1
202159_at,1
202160_at,1
202161_at,1
202162_s_at,1
202163_s_at,1
202164_s_at,0
202165_at,1
202166_s_at,1
202167_s_at,1
202168_at,0
202169_s_at,1
202170_s_at,1
202171_at,0
